institucion,email_colector,kit,estacion,nombre,lat,long,fecha,color,I-Hol,% O2,DBO,NH4,pts PSO,pts DBO,pts NH4,I_Hol2,col2,CF,DQO,EC,PO4,GYA,pH,SD,Ssed,SST,ST,SAAM,T,Aforo
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 5,Hortifruti,"9,91589900","-84,02772700",1/05/2015 00:00,Anaranjado,11,"14,3",18,"0,85",5,5,2,12,ROJO,20,35,1,ND,3,"6,67",188,"0,4",32,220,"0,38",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 6,Montesacro,"9,92142200","-84,03678100",1/05/2015 00:00,Amarillo,9,"15,2",7,"0,15",5,3,1,9,AMARILLO,1,36,1,ND,2,"6,81",136,"0,2",20,156,"0,23",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 7,Mallorca,"9,91733600","-84,03414900",1/05/2015 00:00,Verde,5,"11,3",18,"0,64",5,5,2,12,ROJO,40,33,1,ND,4,"6,97",144,"0,2",48,192,"0,24",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 8,Lito Monge,"9,91588000","-84,03990700",1/05/2015 00:00,Anaranjado,12,"16,9",13,"1,8",5,4,3,12,ROJO,410,20,370,ND,4,"7,42",192,"0,2",32,224,"0,95",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 9,Cascada Azul,"9,91381900","-84,05255300",1/05/2015 00:00,Rojo,15,"11,4",21,"9,8",5,5,5,15,ROJO,1000,55,980,ND,4,"7,02",204,"0,2",28,232,"1,8",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 10,Ranchito,"9,91386700","-84,05662000",1/05/2015 00:00,Amarillo,9,"15,9",8,"0,27",5,3,1,9,AMARILLO,3,17,1,ND,2,"6,93",148,"0,3",44,192,"0,29",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 1,MONTERAN,"9,92505600","-84,00426300",1/03/2015 00:00,Rojo,15,"20,3",44,"6,2",5,5,5,15,ROJO,2400,105,210,ND,9,"7,17",268,"1,8",36,304,"1,7",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 2,Q-Pio,"9,91627200","-84,01637300",1/03/2015 00:00,Verde,6,32,3,"0,18",4,1,1,6,VERDE,1600,13,320,ND,2,"7,16",212,"0,2",12,224,"0,08",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 3,Parq Pinares,"9,91556700","-84,02009500",1/03/2015 00:00,Amarillo,7,"41,6",4,"0,05",4,2,1,7,AMARILLO,1,36,1,ND,2,"6,99",176,"0,2",16,192,"0,05",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 4,Tacaco,"9,91719200","-84,02202200",1/03/2015 00:00,Verde,5,54,3,"0,05",3,1,1,5,VERDE,1,13,1,ND,2,"6,95",176,"0,2",6,176,"0,05",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 5,Hortifruti,"9,91589900","-84,02772700",1/03/2015 00:00,Verde,5,"52,5",3,"0,03",3,1,1,5,VERDE,85,5,1,ND,2,"6,94",196,"0,2",16,212,"0,05",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 6,Montesacro,"9,92142200","-84,03678100",1/03/2015 00:00,Verde,5,"55,9",3,"0,26",3,1,1,5,VERDE,62,13,1,ND,2,"6,94",184,"0,2",6,184,"0,79",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 7,Mallorca,"9,91733600","-84,03414900",1/03/2015 00:00,Verde,6,"52,3",4,"0,03",3,2,1,6,VERDE,86,24,1,ND,2,"6,92",186,"0,2",14,200,"0,03",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 8,Lito Monge,"9,91588000","-84,03990700",1/03/2015 00:00,Anaranjado,10,"26,1",11,"1,1",5,4,3,12,ROJO,310,46,1,ND,3,7,162,"0,2",26,188,"0,51",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 9,Cascada Azul,"9,91381900","-84,05255300",1/03/2015 00:00,Rojo,15,11,23,"7,5",5,5,5,15,ROJO,2400,66,200,ND,11,"6,94",204,"0,2",30,236,"3,4",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 10,Ranchito,"9,91386700","-84,05662000",1/03/2015 00:00,Verde,5,"54,9",3,"0,3",3,1,1,5,VERDE,94,13,1,ND,2,"7,22",172,"0,2",16,188,"0,11",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 1,MONTERAN,"9,92505600","-84,00426300",1/12/2014 00:00,Anaranjado,11,21,18,"0,1",5,5,1,11,ROJO,1,40,1,ND,3,"7,4",178,"0,2",66,244,"0,62",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 2,Q-Pio,"9,91627200","-84,01637300",1/12/2014 00:00,Verde,5,59,3,"0,1",3,1,1,5,VERDE,1,14,1,ND,2,"7,33",196,"0,2",12,208,"0,1",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 3,Parq Pinares,"9,91556700","-84,02009500",1/12/2014 00:00,Verde,5,67,3,"0,1",3,1,1,5,VERDE,1,21,1,ND,2,"7,39",168,"0,2",18,186,"0,05",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 4,Tacaco,"9,91719200","-84,02202200",1/12/2014 00:00,Verde,5,"58,9",3,"0,1",3,1,1,5,VERDE,1,14,1,ND,2,"7,18",196,"0,2",6,196,"0,09",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 5,Hortifruti,"9,91589900","-84,02772700",1/12/2014 00:00,Verde,5,"54,7",3,"0,1",3,1,1,5,VERDE,1,5,1,ND,2,"7,37",180,"0,2",12,192,"0,05",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 6,Montesacro,"9,92142200","-84,03678100",1/12/2014 00:00,Verde,5,"62,1",4,"0,1",3,2,1,6,VERDE,1,14,1,ND,2,"7,34",188,"0,2",32,220,"0,27",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 7,Mallorca,"9,91733600","-84,03414900",1/12/2014 00:00,Amarillo,8,"13,8",17,"1,4",5,5,3,13,ROJO,1,30,1,ND,3,"7,19",266,"0,5",26,292,"0,12",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 8,Lito Monge,"9,91588000","-84,03990700",1/12/2014 00:00,Anaranjado,11,"10,4",39,"0,3",5,5,1,11,ROJO,1,200,1,ND,13,"7,52",176,1,64,240,"0,12",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 9,Cascada Azul,"9,91381900","-84,05255300",1/12/2014 00:00,Anaranjado,11,"10,9",29,"0,1",5,5,1,11,ROJO,1,52,1,ND,3,"7,42",220,"0,3",20,240,"1,7",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 10,Ranchito,"9,91386700","-84,05662000",1/12/2014 00:00,Verde,6,"58,9",4,"0,1",3,2,1,6,VERDE,1,12,1,ND,2,"7,45",170,"0,2",14,184,"0,4",ND,ND
